stem,silent_frac,ref_edge,pretrained,C2
ank_0_10,0.8282740843336411,0.6075434888635994,1.2495125960472495,0.09430788638709431
ank_0_16,0.6485072329947676,0.8831276696725202,0.8781741233373639,0.2555085315061131
ank_0_30,0.9586218836565097,0.84460096723055,0.8927035567487942,0.1294399961985317
ank_0_41,0.9380001538935057,0.837370029326716,1.1071244887462959,0.4011657809017658
ank_10_1,0.7575600184672207,0.5788070389274015,1.2177327366850927,0.14749495481267003
ank_11_14,0.7892236072637735,0.5514904818777878,1.4364006010784052,0.1376734729956687
ank_12_21,0.9719721452754694,0.6283373245987294,1.0621141489227668,0.0888874889756835
ank_12_28,0.9538896583564174,0.7784701635509307,0.956867519817626,0.10789596393969225
ank_12_35,0.8380847953216374,0.8732297381045286,1.0075176111870465,0.5031279571023026
ank_13_12,0.7532702369959988,0.5598600541396395,0.7376271495689458,0.11868813574784472
ank_13_17,0.9257848568790397,0.788534264223081,0.9273762154470474,0.14788268465572216
ank_13_21,0.9445791012619268,0.5831619249333034,1.2819277108433735,0.07361620394621966
ank_13_29,0.9066251154201292,0.8806492679821769,0.8898205035537887,0.1739308517046139
ank_13_34,0.9328062480763312,0.7945598152234435,1.001453450647564,0.03550572296192478
ank_13_6,0.6938288704216682,0.5818731285349895,0.9796540715681135,0.17730023347786722
ank_14_33,0.9412511542012927,0.6874923359901901,1.3232557448200004,0.5225482327060852
ank_14_9,0.7510195444752231,0.7802822673599549,1.0588582871023866,0.2937990348947904
ank_15_22,0.9064712219144352,0.6872373838122321,1.1970108695652173,0.2498147233201581
ank_15_41,0.9984033548784241,0.7820273212462188,0.9989652113925298,0.16736473834630927
ank_15_6,0.7161819021237303,0.6905989793177545,1.079615728676442,0.20508731671269104
ank_16_36,0.9506001846722069,0.6942488262910798,0.9913137260617367,0.08316087095927946
ank_16_9,0.8563211757463836,0.8605413905425138,0.8945623515284413,0.3944187746364894
ank_17_17,0.9187249923053247,0.6143554094516217,1.2190450223237108,0.0755938788725674
ank_17_19,0.8120960295475531,0.6472901269660792,1.079557930176389,0.31801214960111246
ank_17_22,0.851762080640197,0.7991553367360766,0.6926663840610428,0.07777306768404692
