side,arm,stem,med_resid,n_points
seeded,C3,ank_26_3,3.54300754963527,55
seeded,C3,ank_26_5,1.5156367454204949,72
seeded,C3,ank_27_14,4.077519904281505,52
seeded,C3,ank_29_21,1.3055803954353278,38
seeded,C3,ank_2_12,3.2151421468041974,60
seeded,C3,ank_33_3,0.7019965372027741,128
seeded,C3,ank_33_34,0.48775174946057337,371
seeded,C3,ank_34_11,1.3104329119790405,64
seeded,C3,ank_35_11,2.6406336520256204,62
seeded,C3,ank_38_22,0.5141867279927412,192
seeded,C3,ank_3_13,1.2218658578710062,81
seeded,C3,ank_4_41,0.7405900852233833,59
seeded,C3,ank_5_12,0.6394968920848694,66
seeded,C3,ank_5_5,0.4360839396770374,96
seeded,C3,ank_6_10,2.5288094238970955,55
seeded,C3,ank_7_36,2.9595581702282656,25
seeded,C3,ank_7_8,2.8908305575102196,58
seeded,C3,ank_8_31,1.3061349881399318,37
seeded,C3,ank_9_1,3.6461374093193264,47
seeded,C3,ank_9_25,0.5737383750380859,64
det,genCP_HR_RGB_model,ank_0_30,3.912175988390979,35
det,genCP_HR_RGB_model,ank_13_34,3.5969614534943215,28
det,genCP_HR_RGB_model,ank_13_6,3.2854772207003187,58
det,genCP_HR_RGB_model,ank_17_22,2.4544691683116353,55
det,genCP_HR_RGB_model,ank_18_7,2.42717410710247,56
det,genCP_HR_RGB_model,ank_20_6,2.7651332138106968,59
det,genCP_HR_RGB_model,ank_22_16,3.3098300441158557,40
det,genCP_HR_RGB_model,ank_22_37,3.016632068281576,35
det,genCP_HR_RGB_model,ank_24_3,2.799158230901568,62
det,genCP_HR_RGB_model,ank_25_16,3.403799757896963,54
det,genCP_HR_RGB_model,ank_26_3,3.3763099311381866,59
det,genCP_HR_RGB_model,ank_26_5,3.1447682669239905,62
det,genCP_HR_RGB_model,ank_27_14,2.8407732398933447,50
det,genCP_HR_RGB_model,ank_29_21,1.9517961017328398,32
det,genCP_HR_RGB_model,ank_2_12,2.7388798519986794,58
det,genCP_HR_RGB_model,ank_33_3,2.119150420108504,81
det,genCP_HR_RGB_model,ank_33_34,1.0057757563856504,151
det,genCP_HR_RGB_model,ank_34_11,2.4145310322370968,73
det,genCP_HR_RGB_model,ank_35_11,2.6682197698777834,83
det,genCP_HR_RGB_model,ank_38_22,0.9074081695895009,79
det,genCP_HR_RGB_model,ank_3_13,3.3100789187643707,42
det,genCP_HR_RGB_model,ank_4_41,3.579188647227264,26
det,genCP_HR_RGB_model,ank_5_12,2.7295775798396886,43
det,genCP_HR_RGB_model,ank_5_5,1.8399553178957162,76
det,genCP_HR_RGB_model,ank_6_10,2.6864912908975227,63
det,genCP_HR_RGB_model,ank_7_36,3.0324939649577685,18
det,genCP_HR_RGB_model,ank_7_8,3.013550194756485,65
det,genCP_HR_RGB_model,ank_8_31,2.146361071751705,37
det,genCP_HR_RGB_model,ank_9_1,2.895310055974593,41
det,genCP_HR_RGB_model,ank_9_25,3.4281790811441946,44
det,C1,ank_0_30,3.9514856076629803,24
det,C1,ank_13_34,3.8857132959991105,28
det,C1,ank_13_6,3.2199703414526457,69
det,C1,ank_17_22,3.094103699920434,39
det,C1,ank_18_7,1.0308594423675204,78
det,C1,ank_20_6,3.365108346066006,57
det,C1,ank_22_16,2.7557628200677664,37
det,C1,ank_22_37,1.5364418615691153,49
det,C1,ank_24_3,2.6588611586050415,60
det,C1,ank_25_16,2.2256714999280325,48
det,C1,ank_26_3,2.7516032849697885,39
det,C1,ank_26_5,2.546012693383055,62
det,C1,ank_27_14,2.9672355578786536,50
det,C1,ank_29_21,2.7826105811179045,54
det,C1,ank_2_12,2.881119756383459,58
det,C1,ank_33_3,1.624391013522391,98
det,C1,ank_33_34,0.521364542223612,313
det,C1,ank_34_11,2.4149380508767244,76
det,C1,ank_35_11,2.8158394774877094,90
det,C1,ank_38_22,0.5826693075450518,152
det,C1,ank_3_13,2.658198766665029,49
det,C1,ank_4_41,0.921775385194322,26
det,C1,ank_5_12,3.5005165257405655,71
det,C1,ank_5_5,2.2638748504970323,78
det,C1,ank_6_10,3.4340311129186523,84
det,C1,ank_7_36,3.6945711658716944,19
det,C1,ank_7_8,3.3630089793858313,48
det,C1,ank_8_31,1.3742714968946248,34
det,C1,ank_9_1,3.7235578279510526,48
det,C1,ank_9_25,1.0396354940296382,65
det,C2,ank_0_30,3.2460115609221725,24
det,C2,ank_13_34,2.166655088430452,35
det,C2,ank_13_6,2.9506897543401203,55
det,C2,ank_17_22,1.8820421759542225,35
det,C2,ank_18_7,0.808254256564272,92
det,C2,ank_20_6,2.4236853761070436,73
det,C2,ank_22_16,1.9950623608384765,49
det,C2,ank_22_37,0.7629186455713964,72
det,C2,ank_24_3,3.3987437597481405,35
det,C2,ank_25_16,1.002960523588825,65
det,C2,ank_26_3,3.005107406183713,46
det,C2,ank_26_5,1.7571973424659193,83
det,C2,ank_27_14,3.94328172499062,51
det,C2,ank_29_21,1.8970779822651267,52
det,C2,ank_2_12,3.2463501254888936,60
det,C2,ank_33_3,0.6547140336861348,128
det,C2,ank_33_34,0.46189877020404635,467
det,C2,ank_34_11,1.9105987017692159,86
det,C2,ank_35_11,2.0073497551141855,99
det,C2,ank_38_22,0.4902190338189195,217
det,C2,ank_3_13,1.2924476374093072,73
det,C2,ank_4_41,0.6495264606269814,48
det,C2,ank_5_12,0.5665631543942753,95
det,C2,ank_5_5,0.39817186645244435,100
det,C2,ank_6_10,3.6541478440673973,38
det,C2,ank_7_36,4.502750102705309,17
det,C2,ank_7_8,2.930140388265686,72
det,C2,ank_8_31,1.7055065878314255,59
det,C2,ank_9_1,2.6198004371714854,56
det,C2,ank_9_25,0.3918991502998925,73
det,C3,ank_0_30,1.9403791109456847,19
det,C3,ank_13_34,2.7833433338609703,23
det,C3,ank_13_6,2.311204517770361,54
det,C3,ank_17_22,2.6298296024007968,42
det,C3,ank_18_7,0.9632718274069266,105
det,C3,ank_20_6,2.025612587777034,65
det,C3,ank_22_16,2.638803572936533,64
det,C3,ank_22_37,0.8150637962739176,61
det,C3,ank_24_3,2.677002012654544,32
det,C3,ank_25_16,1.7729400334302805,54
det,C3,ank_26_3,3.2640869851708807,53
det,C3,ank_26_5,2.2043961983324856,77
det,C3,ank_27_14,3.4008276025660638,49
det,C3,ank_29_21,1.7960650620415288,33
det,C3,ank_2_12,3.178383796542219,61
det,C3,ank_33_3,0.7476764526479378,124
det,C3,ank_33_34,0.47312638984299654,386
det,C3,ank_34_11,1.2846310589805496,69
det,C3,ank_35_11,1.997646182655926,57
det,C3,ank_38_22,0.5304192534725467,188
det,C3,ank_3_13,1.5083905483729245,81
det,C3,ank_4_41,0.7592308836809273,50
det,C3,ank_5_12,0.7967951679612133,84
det,C3,ank_5_5,0.5952780194156496,118
det,C3,ank_6_10,2.8259239181359903,60
det,C3,ank_7_36,2.8022032434434436,22
det,C3,ank_7_8,3.263333280650333,68
det,C3,ank_8_31,1.5069740312224396,49
det,C3,ank_9_1,3.548657385086479,43
det,C3,ank_9_25,0.5617848881812886,63
