i,j,x,y,dens,boundary,building,forest,water,water_edge,score,rank
0,1,487340.0,4428200.0,0.97559,0.4623,0.19271,0.01897,0.00053,0.00027,1.53047,1
0,2,487340.0,4425790.0,0.92786,0.40516,0.11028,0.03952,0.01464,0.0087,1.36617,2
1,2,489750.0,4425790.0,0.8872,0.35263,0.07569,0.03066,0.00404,0.00259,1.32114,3
2,2,492160.0,4425790.0,0.88241,0.32275,0.02948,0.04368,0.0,0.0,1.3047,4
1,1,489750.0,4428200.0,0.87605,0.36934,0.05885,0.09775,0.01668,0.00976,1.24477,5
0,0,487340.0,4430610.0,0.81876,0.35758,0.08848,0.09687,0.0,0.0,1.19372,6
0,3,487340.0,4423380.0,0.70502,0.25872,0.03726,0.08689,5e-05,6e-05,1.11814,7
3,2,494570.0,4425790.0,0.64616,0.22159,0.02706,0.05814,3e-05,5e-05,1.07524,8
1,3,489750.0,4423380.0,0.57639,0.16877,0.01856,0.06512,0.0,0.0,0.92236,9
1,0,489750.0,4430610.0,0.67857,0.26214,0.0475,0.32426,0.00409,0.00222,0.84748,10
2,3,492160.0,4423380.0,0.61736,0.1779,0.00244,0.1971,0.0,0.0,0.80425,11
2,1,492160.0,4428200.0,0.51103,0.15982,0.00073,0.13735,0.02772,0.00663,0.60143,12
3,1,494570.0,4428200.0,0.43253,0.12232,0.02442,0.1319,0.0,0.0,0.50651,13
2,0,492160.0,4430610.0,0.39362,0.11891,0.02516,0.24347,0.04438,0.00429,0.41101,14
3,3,494570.0,4423380.0,0.29389,0.07457,0.00153,0.11095,0.00011,9e-05,0.33693,15
3,0,494570.0,4430610.0,0.22403,0.05548,0.0059,0.12642,0.05481,0.00578,0.19791,16
