set,arm,band,matcher,chip,med,n
ank130,pretrained,rgb,klt,ank_33_3,1.4263536042444789,94
ank130,pretrained,rgb,klt,ank_33_34,1.0092296573166208,161
ank130,pretrained,rgb,klt,ank_33_36,0.889275110908686,82
ank130,pretrained,rgb,klt,ank_34_11,2.339784999526013,80
ank130,pretrained,rgb,klt,ank_34_15,2.68840101939931,55
ank130,pretrained,rgb,klt,ank_34_21,2.0019981207312325,48
ank130,pretrained,rgb,klt,ank_34_30,1.0680679480284196,129
ank130,pretrained,rgb,klt,ank_35_11,1.4696012553976123,106
ank130,pretrained,rgb,klt,ank_35_28,0.9799123000217552,160
ank130,pretrained,rgb,klt,ank_35_39,2.049985786922859,54
ank130,pretrained,rgb,klt,ank_35_7,1.6081806189260297,48
ank130,pretrained,rgb,klt,ank_36_40,3.411283324431821,36
ank130,pretrained,rgb,klt,ank_38_19,3.432308578100129,27
ank130,pretrained,rgb,klt,ank_38_22,0.8073896635354696,70
ank130,pretrained,rgb,klt,ank_38_24,3.1926147090635695,29
ank130,pretrained,rgb,klt,ank_38_27,2.397332126305344,51
ank130,pretrained,rgb,klt,ank_38_40,3.908819245266571,34
ank130,pretrained,rgb,klt,ank_38_9,1.2186124393309106,100
ank130,pretrained,rgb,klt,ank_39_1,2.626637733916528,44
ank130,pretrained,rgb,klt,ank_3_13,2.7147242735002193,42
ank130,pretrained,rgb,klt,ank_3_25,3.252194756196667,34
ank130,pretrained,rgb,klt,ank_3_29,4.8680302001762366,9
ank130,pretrained,rgb,klt,ank_3_34,1.5471060039183473,42
ank130,pretrained,rgb,klt,ank_3_39,3.1422514371837544,25
ank130,pretrained,rgb,klt,ank_3_9,2.177714283839724,48
ank130,pretrained,rgb,klt,ank_40_19,1.1560847179588474,70
ank130,pretrained,rgb,klt,ank_40_2,3.4604272492813135,26
ank130,pretrained,rgb,klt,ank_40_40,3.4493064691247453,34
ank130,pretrained,rgb,klt,ank_41_0,2.4492768761365613,41
ank130,pretrained,rgb,klt,ank_41_1,1.779803058704372,32
ank130,pretrained,rgb,klt,ank_41_19,3.570500529080033,31
ank130,pretrained,rgb,klt,ank_41_40,3.5760439883279256,35
ank130,pretrained,rgb,klt,ank_4_23,3.6113127066180377,43
ank130,pretrained,rgb,klt,ank_4_41,2.5273551257114004,27
ank130,pretrained,rgb,klt,ank_5_12,1.3545000592036232,94
ank130,pretrained,rgb,klt,ank_5_40,4.58020746060547,19
ank130,pretrained,rgb,klt,ank_5_5,1.5058048753851876,79
ank130,pretrained,rgb,klt,ank_6_10,2.504114825387608,87
ank130,pretrained,rgb,klt,ank_6_38,2.649860641463357,20
ank130,pretrained,rgb,klt,ank_7_36,3.459929870983041,20
ank130,pretrained,rgb,klt,ank_7_8,1.8945405626643987,86
ank130,pretrained,rgb,klt,ank_8_19,4.566270168262229,31
ank130,pretrained,rgb,klt,ank_8_22,2.950548725798846,38
ank130,pretrained,rgb,klt,ank_8_31,1.9285830594844071,32
ank130,pretrained,rgb,klt,ank_8_41,1.7225419844617609,74
ank130,pretrained,rgb,klt,ank_9_1,2.1864951826295367,50
ank130,pretrained,rgb,klt,ank_9_24,2.9330454702265167,35
ank130,pretrained,rgb,klt,ank_9_25,3.0839313364050387,43
ank130,C1,rgb,klt,ank_0_10,2.196531368954664,59
ank130,C1,rgb,klt,ank_0_16,1.1340109412578787,92
ank130,C1,rgb,klt,ank_0_30,3.638723677243674,33
ank130,C1,rgb,klt,ank_0_41,0.8275113212231205,48
ank130,C1,rgb,klt,ank_10_1,1.9580838349179768,77
ank130,C1,rgb,klt,ank_11_14,2.345440533670546,68
ank130,C1,rgb,klt,ank_12_21,3.724547833088947,43
ank130,C1,rgb,klt,ank_12_28,4.489326819252064,28
ank130,C1,rgb,klt,ank_12_35,0.6101228730242881,142
ank130,C1,rgb,klt,ank_13_12,1.5452335295558728,93
ank130,C1,rgb,klt,ank_13_17,3.8088046476721193,53
ank130,C1,rgb,klt,ank_13_21,2.788656835636773,57
ank130,C1,rgb,klt,ank_13_29,3.0655534298904565,43
ank130,C1,rgb,klt,ank_13_34,4.405139551795694,28
ank130,C1,rgb,klt,ank_13_6,1.19664286843838,94
ank130,C1,rgb,klt,ank_14_33,0.6705769615743894,47
ank130,C1,rgb,klt,ank_14_9,2.381286714875563,75
ank130,C1,rgb,klt,ank_15_22,2.888374993849663,71
ank130,C1,rgb,klt,ank_15_41,4.159758916152636,27
ank130,C1,rgb,klt,ank_15_6,1.2883585294182869,89
ank130,C1,rgb,klt,ank_16_36,4.494292569924396,14
