stem,pre_med,pre_n,C1_e1_med,C1_e1_n,C1_e2_med,C1_e2_n,C1_e5_med,C1_e5_n,C1_e10_med,C1_e10_n,C1_e20_med,C1_e20_n,C2_e1_med,C2_e1_n,C2_e2_med,C2_e2_n,C2_e5_med,C2_e5_n,C2_e10_med,C2_e10_n,C2_e20_med,C2_e20_n
ank_23_28,1.0840761626184352,66,0.8876862069482394,88,0.95292487283746,98,0.5024102842472616,104,0.6282322418023171,99,0.6268245258311119,93,0.5939404311013045,106,0.5801543995172276,141,0.4605880054899515,130,0.48499383666017526,144,0.498807715306869,155
ank_24_0,2.849717206309148,66,2.599226460679746,83,1.8304539364638188,85,1.796107568819507,81,1.8200676635782802,81,2.4792194444263074,79,1.1476118005606435,96,1.1490166390073364,112,1.1719423392012118,97,1.242498355904079,100,1.4460434049118405,111
ank_24_12,2.2243788583002155,51,2.7762242854926615,45,2.263480471432353,56,1.7914448191655132,59,2.0113901908449687,43,2.2490538427097904,42,1.6503245789240975,65,1.7696576166115863,63,1.569100797615036,72,1.1596180181242155,55,1.2868688590858692,50
ank_24_14,2.8929374480514225,42,2.0492708043530654,81,1.096825139600669,80,1.137157679838015,100,1.3947540543689596,75,1.4131770586948413,74,0.6013432227714107,89,0.446207949645406,125,0.43399039757924834,97,0.4431499080012885,109,0.44201151612031375,102
ank_24_3,3.493766352589964,61,2.943301383754433,57,3.903358366471376,65,3.0077260163140638,54,3.4140913893739753,63,2.8649273748294846,59,2.5663871766646,54,3.0444751488805553,33,3.3085230864280453,39,2.7969773544253194,30,2.876906504640699,43
ank_25_1,2.324888068299498,68,2.1413788551022206,84,1.3123263831800724,79,1.1418038194650049,89,1.3709978280244015,93,1.5248833278463954,102,1.1443620407854849,114,0.8661836629226044,121,0.8993796987819422,114,0.9623271572896049,142,1.0383937622918609,153
ank_25_14,3.0427482489735964,50,2.8361972634126915,45,3.180024509428833,51,3.19850555597659,54,3.3527078879116035,52,2.8023619004145432,64,1.652667501566194,70,2.3560609119957374,63,1.386718091549452,65,1.6900457568906055,83,1.832869866277535,50
ank_25_16,3.184549785322961,58,3.2571293814026108,48,2.3155498243872703,48,2.521802020597335,63,2.785326177095027,61,2.356482357711994,54,2.423960551494359,61,1.628508294115842,53,1.5088200352889602,67,1.579330046633142,56,1.421940598874978,68
ank_25_37,2.8801973886597163,37,1.93228249970255,48,2.1725645656104122,51,1.3457271069787524,69,1.286765991655472,65,1.7788730290956276,71,1.203090344478451,73,1.214468157169054,64,0.9963840203623157,77,1.0085587026081435,67,0.9257038907413375,70
ank_26_21,2.3878711270619757,50,2.358847003465612,37,1.072881719368274,46,2.6545836945430312,41,1.6244734020483809,43,2.741008096435464,38,2.0233817250581287,57,1.4851759981698471,47,1.313928597232285,59,1.071433353316354,43,1.171065405570968,51
