stem,informative_frac,ref_edge,C1,C2,C4,C5
ank_0_10,0.17207217605417052,0.8543320290665176,1.0723632556922271,1.0117770217220623,1.0679141585972258,1.1001046846375295
ank_0_16,0.3539358264081256,0.922332735474754,0.9747200942840306,0.9473187978786094,0.9601649970536241,1.0101355332940483
ank_0_30,0.04178208679593721,0.91804788213628,1.0125376128385155,0.9167502507522567,1.0075225677031092,1.0325977933801405
ank_0_41,0.06169205909510619,0.9706891175553477,0.9900417603597815,0.943784131063283,0.9829746225505942,1.0025698682942499
ank_10_1,0.24413281009541396,0.8964620597273658,1.0044827283115056,0.9412850487826316,0.9854970554627759,1.026808473235475
ank_11_14,0.21181517389966142,0.8279901916265553,1.093890534166941,1.0432159701656247,1.0954261270154657,1.133815948228584
ank_12_21,0.027816251154201294,0.9557399723374828,1.0253256150506511,0.9356005788712012,1.0238784370477567,1.0267727930535455
ank_12_28,0.045225453985841796,0.9846873670778392,0.983585313174946,0.961123110151188,0.9784017278617712,1.0008639308855292
ank_12_35,0.16280009233610343,0.9032258064516129,1.0567765567765568,1.032967032967033,1.0701203558346415,1.0792778649921508
ank_13_12,0.24957679285934134,0.8554801911515338,1.0518064690512658,0.9849535994233715,1.0444184160735202,1.059374718443103
ank_13_17,0.07350338565712528,0.9701648783041089,1.0051254383598598,0.970056649581872,1.0048556784461828,1.0083625573239816
ank_13_21,0.05509387503847338,0.9039804469273743,1.0791811510235612,1.0281962147547317,1.0683661645422944,1.0946311317110853
ank_13_29,0.0943367189904586,0.9486133768352365,0.9643164230438521,0.9155202063628548,0.9804385210662081,1.0015047291487533
ank_13_34,0.06698214835333949,0.9215967834577828,1.0199439077594266,0.9202243689622935,1.0442505453412279,1.0495481458398255
ank_13_6,0.30849876885195443,0.8858888819604664,1.0278735834447807,0.976208911100162,1.0086577039487576,1.0358977968607024
ank_14_33,0.05851800554016621,0.9178172255095332,1.0304441260744985,0.9960601719197708,1.0351002865329515,1.055515759312321
ank_14_9,0.2502308402585411,0.8374077490774908,1.1039199485908382,1.0424125585238226,1.1009822821995776,1.1308179564858165
ank_15_22,0.09454832256078793,0.817090539165819,1.1015936254980079,1.0239043824701195,1.0824203187250996,1.1451693227091633
ank_15_41,0.001615881809787627,0.9523809523809523,1.0375,0.9750000000000001,1.0375,1.05
ank_15_6,0.28541474299784547,0.9255914268383096,0.9586397728100197,0.934318794145489,0.9401441782567538,0.9943930677929076
ank_16_36,0.049707602339181284,0.9268575851393189,1.0254697286012526,0.8609603340292276,1.045929018789144,1.0141962421711899
ank_16_9,0.14419821483533396,0.9262273212379936,1.002736569206395,0.9724902779778194,1.0072014979115655,1.0273656920639493
ank_17_17,0.08225607879347492,0.706267539756782,1.2311258278145696,1.1625827814569536,1.2791390728476821,1.3301324503311258
ank_17_19,0.1882694675284703,0.7666292020026566,1.2084499533519926,1.1511395441823271,1.2051179528188725,1.2424363587898173
ank_17_22,0.14893044013542628,0.8703177473521054,1.0277530424458297,0.9859008607895517,1.0194419709112497,1.0653012763431284
