i,j,x,y,dens,boundary,building,forest,water,water_edge,score,rank
0,1,487340.0,4429000.0,0.97462,0.46591,0.17511,0.01644,0.00053,0.00027,1.52657,1
0,2,487340.0,4427390.0,0.96445,0.44886,0.17207,0.02356,0.00554,0.00352,1.49033,2
1,2,488950.0,4427390.0,0.93349,0.41896,0.11938,0.04637,0.01042,0.00698,1.40363,3
1,1,488950.0,4429000.0,0.92586,0.41106,0.09785,0.05802,0.01058,0.00458,1.36699,4
0,3,487340.0,4425780.0,0.92743,0.40447,0.10963,0.03988,0.01464,0.0087,1.36444,5
1,3,488950.0,4425780.0,0.90622,0.38946,0.10335,0.02504,0.00921,0.00538,1.35364,6
3,3,492170.0,4425780.0,0.88322,0.32315,0.02969,0.04298,0.0,0.0,1.30666,7
2,3,490560.0,4425780.0,0.86755,0.31856,0.05016,0.04925,0.00045,0.00033,1.27997,8
0,4,487340.0,4424170.0,0.85147,0.33398,0.06716,0.07788,0.00749,0.00413,1.25569,9
4,3,493780.0,4425780.0,0.78979,0.28144,0.0337,0.04918,3e-05,5e-05,1.23027,10
0,0,487340.0,4430610.0,0.81876,0.35758,0.08848,0.09687,0.0,0.0,1.19372,11
1,4,488950.0,4424170.0,0.77097,0.27889,0.05384,0.03073,0.00444,0.00195,1.1521,12
2,4,490560.0,4424170.0,0.73633,0.22063,0.02783,0.07167,0.0,0.0,1.06902,13
2,2,490560.0,4427390.0,0.77901,0.30185,0.03435,0.14775,0.01275,0.00825,1.05467,14
3,4,492170.0,4424170.0,0.7383,0.24856,0.0145,0.13231,0.0,0.0,1.00998,15
2,1,490560.0,4429000.0,0.73179,0.28623,0.03237,0.08839,0.01744,0.0095,1.00076,16
1,0,488950.0,4430610.0,0.70028,0.27361,0.04734,0.28452,0.00401,0.00213,0.88939,17
4,2,493780.0,4427390.0,0.65448,0.19961,0.01806,0.16804,0.0,0.0,0.84604,18
3,2,492170.0,4427390.0,0.61565,0.20029,0.00704,0.12786,0.00274,0.00185,0.80442,19
2,0,490560.0,4430610.0,0.60279,0.22555,0.03893,0.22194,0.00353,0.00185,0.76696,20
4,4,493780.0,4424170.0,0.51878,0.17177,0.01756,0.13254,3e-05,5e-05,0.70762,21
3,1,492170.0,4429000.0,0.43625,0.1295,0.00427,0.12497,0.0572,0.00907,0.4775,22
3,0,492170.0,4430610.0,0.39278,0.11841,0.02512,0.24332,0.04513,0.00434,0.40941,23
4,1,493780.0,4429000.0,0.3592,0.09515,0.01935,0.12719,0.05148,0.00505,0.37066,24
4,0,493780.0,4430610.0,0.27628,0.06558,0.01246,0.22333,0.09064,0.00875,0.21639,25
