stem,stratum,conf_D,conf_B,conf_S,osm_fraction,err_C2,n_C2,err_C1,conf_COMB
ank_0_10,3,0.5234953203321085,-30.01821316766903,-1.5798258781433105,0.0447845458984375,1.8933430463845085,59.0,2.2030565552199177,-0.09059281396785333
ank_0_16,5,0.8350012196600606,-28.936811236972023,-0.8949939012527466,0.0304412841796875,0.5657533616392761,119.0,0.9712414896923376,0.6867502593487725
ank_0_30,1,0.18558077404718398,-139.27875126085343,-1.7754771709442139,0.0029754638671875,2.9970056618918166,30.0,3.271912237042996,-0.5245806660946645
ank_0_41,2,0.5346691251486851,-67.24134960400391,-2.018939256668091,0.029388427734375,0.8278190985205742,48.0,0.6636302004602884,-0.4094743782306127
ank_10_1,4,0.6199797606314743,-51.44018704898585,-0.9071379899978638,0.013092041015625,0.5700150689963905,152.0,1.6328425427090847,0.49461913945004005
ank_11_14,4,0.49654450118930127,-38.794413401636874,-1.2712466716766357,0.01361083984375,0.42000304806566763,78.0,2.19245934468592,0.117236823394678
ank_12_21,1,0.12116820562826414,-48.726806114809705,-2.1821203231811523,0.0097198486328125,3.221521548360408,51.0,3.5358486211237294,-0.8835262945478224
ank_12_28,1,0.20035970024889668,-35.85897785222044,-1.951810359954834,0.0123291015625,2.873010886015946,23.0,3.319003377839241,-0.6438712369422797
ank_12_35,4,0.7274072510490295,-55.512403779635136,-1.6509491205215454,0.0186920166015625,0.38874032381568036,259.0,0.533428307622899,0.029808663181811027
ank_13_12,4,0.6780235454713197,-89.6655359545581,-0.5632913708686829,0.004669189453125,0.7306940043299506,108.0,1.4250146278445328,0.801180174036267
ank_13_17,1,0.2848751652098903,-52.154440176949194,-2.2685608863830566,0.016845703125,0.9343591011424437,62.0,3.3167537075906153,-0.8088067162737942
ank_13_21,1,0.1878204476683181,-53.8140808918711,-2.1341230869293213,0.0156402587890625,2.927483204545431,48.0,3.022056912809954,-0.7908897779242172
ank_13_29,2,0.3124517451186122,-53.85617337335113,-1.8163378238677979,0.0101318359375,1.2610798047562135,49.0,3.3345339714242073,-0.44713254748020936
ank_13_34,1,0.18243539624891103,-76.68449250752094,-1.9852852821350098,0.0108489990234375,3.163614211128997,30.0,3.961222314857066,-0.6841647520485002
ank_13_6,4,0.6550986118162676,-40.722708418991594,-0.8963905572891235,0.015411376953125,0.5303171621248647,159.0,1.204977821400849,0.5325535717915744
ank_14_33,2,0.5095939986677257,-37.15362337805626,-2.194633960723877,0.0091094970703125,0.8737022805883289,69.0,0.7038800712964418,-0.5622154522996192
ank_14_9,4,0.585193965179104,-30.95003555800559,-0.9602165222167969,0.020751953125,0.6463781660413469,76.0,1.6222474380166134,0.42531064210152447
ank_15_22,2,0.31593121623921594,-154.33781670510294,-1.6028945446014404,0.0019378662109375,1.5373878306092903,64.0,2.6637941550175834,-0.2845454609535925
ank_15_41,1,0.1000266062402691,-362.03867196751247,-2.372948169708252,0.0,1.8685107758242436,54.0,3.3364158944526445,-1.0442361553220492
ank_15_6,4,0.8411461046916691,-32.52250759393177,-0.7875505089759827,0.0386505126953125,0.49574760457426287,173.0,1.0491456973959288,0.7723337008321014
ank_16_36,1,0.12481312307889746,-124.39520690489886,-3.688420295715332,0.0034332275390625,3.6381001932726287,29.0,3.5650702286660847,-2.0069199162870692
ank_16_9,4,0.7159647846851613,-31.725041859475198,-1.5695219039916992,0.0383453369140625,0.647032870890092,104.0,1.5234741927037427,0.08096351303912644
ank_17_17,1,0.16814848611735184,-91.33940707944288,-1.761436939239502,0.00433349609375,2.2249762175818866,48.0,3.151668825071185,-0.528920797608954
ank_17_19,3,0.5751259148311646,-22.95067758177228,-1.8498486280441284,0.01934814453125,1.4547173426075735,81.0,2.87120986408683,-0.24857770253780986
ank_17_22,3,0.4795962769625022,-48.18126362848517,-1.4006304740905762,0.0416412353515625,2.436016577019893,59.0,3.4363060799692815,0.00604815002506065
