stem,silent_frac,ref_edge,pretrained,C1,C2,C4,C5
ank_0_10,0.8282740843336411,0.6075434888635994,1.2495125960472495,1.2255820176612255,0.09105852670209105,1.343170610497343,1.31992813180932
ank_0_16,0.6485072329947676,0.8831276696725202,0.8781741233373639,0.8294706435577052,0.26014375923686683,0.9114604326212549,0.9509942227596399
ank_0_30,0.9586218836565097,0.84460096723055,0.8927035567487942,1.022143552947326,0.1325049300292238,1.0430278695146,1.0611798807289317
ank_0_41,0.9380001538935057,0.837370029326716,1.1071244887462959,0.9918934143175528,0.402169919913791,0.9970610565501702,1.031177291763611
ank_10_1,0.7575600184672207,0.5788070389274015,1.2177327366850927,1.1589892076862334,0.11432833201719753,1.252873563218391,1.360007019391068
ank_11_14,0.7892236072637735,0.5514904818777878,1.4364006010784052,1.2536904446212322,0.14673384601785555,1.3016883231680367,1.5501635286838151
ank_12_21,0.9719721452754694,0.6283373245987294,1.0621141489227668,1.3443996472218724,0.09024190500188989,1.344714627693083,1.433003653773466
ank_12_28,0.9538896583564174,0.7784701635509307,0.956867519817626,1.1036474794052122,0.11172996217812549,1.132531993160976,1.1542148075229264
ank_12_35,0.8380847953216374,0.8732297381045286,1.0075176111870465,0.9897487120176638,0.5224739774997371,1.0484964777625907,1.0514141520344864
ank_13_12,0.7532702369959988,0.5598600541396395,0.7376271495689458,1.0771792181726951,0.140446106828445,1.1955936687497148,1.1221548145782967
ank_13_17,0.9257848568790397,0.788534264223081,0.9273762154470474,1.0418456349310918,0.14806714274420935,1.059843474136341,1.1466968826583046
ank_13_21,0.9445791012619268,0.5831619249333034,1.2819277108433735,1.4616029334730227,0.06617775449624586,1.4204295442640127,1.555683603981142
ank_13_29,0.9066251154201292,0.8806492679821769,0.8898205035537887,0.8919407300325262,0.17993012890013255,0.9438621852788821,0.984001927478617
ank_13_34,0.9328062480763312,0.7945598152234435,1.001453450647564,0.9462223260401256,0.04064470918009811,0.9883464403436373,1.1235173505671052
ank_13_6,0.6938288704216682,0.5818731285349895,0.9796540715681135,1.3173869538285605,0.15128412826988133,1.2003144803926238,1.2360508886453516
ank_14_33,0.9412511542012927,0.6874923359901901,1.3232557448200004,1.2116590861797318,0.5126490085912185,1.2329439043966823,1.2923095216861382
ank_14_9,0.7510195444752231,0.7802822673599549,1.0588582871023866,1.0254078718445327,0.29780389324754625,1.1099366444539278,1.0986442569674688
ank_15_22,0.9064712219144352,0.6872373838122321,1.1970108695652173,1.0874197134387351,0.25815217391304346,1.1782361660079053,1.2702569169960474
ank_15_41,0.9984033548784241,0.7820273212462188,0.9989652113925298,1.163250221740416,0.17460825859860057,1.169458953385237,1.1700748989849217
ank_15_6,0.7161819021237303,0.6905989793177545,1.079615728676442,0.9098440356267745,0.20874333942670453,0.9932324685932091,1.1581035354517522
ank_16_36,0.9506001846722069,0.6942488262910798,0.9913137260617367,1.2633573323228497,0.08960270498732038,1.2454601101815959,1.332235403853441
ank_16_9,0.8563211757463836,0.8605413905425138,0.8945623515284413,0.9730336492024956,0.38274988905421986,1.0009658809094943,1.0115905709139321
ank_17_17,0.9187249923053247,0.6143554094516217,1.2190450223237108,1.0467605057768992,0.08295559115231246,1.0991104597661974,1.3995433011826455
ank_17_19,0.8120960295475531,0.6472901269660792,1.079557930176389,1.2045670789724072,0.3255873527043841,1.2377955061113957,1.3577179243211595
ank_17_22,0.851762080640197,0.7991553367360766,0.6926663840610428,0.7530309453158117,0.06833403984739296,0.8360887381658895,1.0576798078281757
ank_17_31,0.9542166820560173,0.9022457866301105,0.9895430678136521,1.0323315830633448,0.6244888839235839,1.0310132946039547,1.0344989386660708
ank_17_32,0.971375807940905,0.6293567807351077,1.2500629326620516,1.42803650094399,0.3564505978602895,1.426935179358087,1.4451856513530523
ank_18_16,0.8534164358264081,0.7465737985754215,1.167627789016032,1.0011775006793273,0.17753087165242595,1.1475800851423568,1.1046465988345764
ank_18_27,0.9496191135734072,0.8217968196090347,0.908252810096628,0.9894744626306448,0.19190001971997633,0.9406921711693945,1.0939163873003352
ank_18_29,0.8474338257925516,0.8875899484711597,0.9290299480831693,0.9359095675302422,0.3684049001304315,0.9345029538886473,0.9979795913148003
ank_18_37,0.7458064019698368,0.7532370389476399,1.1211861795021059,0.9065164537889943,0.24545423415402526,1.1241310824230388,1.1942951066671232
ank_18_39,0.8321021852877809,0.7714536711670057,1.0882828888222955,1.1067126161222656,0.2680851063829787,1.1438417740485467,1.1934671860952952
ank_18_7,0.7730455524776855,0.8170009456029463,0.963511208576998,0.8512122319688109,0.3752741228070175,0.9642117446393761,1.0831810428849902
ank_19_15,0.8262157586949831,0.8659138533178115,0.9867709929821731,0.9033368288026673,0.33309133930251944,0.992229302788309,0.994676131322094
ank_19_33,0.9989035087719298,0.841180888555087,0.9234890109890109,1.0728021978021978,0.10934065934065934,1.0977564102564101,1.089697802197802
ank_19_6,0.8849838411819021,0.6214976632974677,1.1472789591494124,1.0068900391717963,0.060401510912143255,1.1350727476217124,1.340829602686066
ank_19_9,0.8895814096645122,0.8960730040653923,0.907910613446595,0.9394275785510884,0.16328008108499448,0.9867271586466528,1.0264974178290458
ank_1_34,0.8960257002154509,0.790785547134975,1.0774284628332518,1.0205245153933866,0.4245262529184992,1.061845034479014,1.064614215127328
ank_20_10,0.884599107417667,0.9170599108404914,0.949443930663252,0.9490882359915582,0.460434896018591,0.959972492945389,0.9927201157193333
ank_20_19,0.9560826408125577,0.6830446067483552,1.1714975845410627,1.2262578060563214,0.11788617886178862,1.1380346412159772,1.333421703782255
ank_20_37,0.6025892582333026,0.9261612130885873,1.0020681097476907,0.9665310905832071,0.7122914656004413,0.9855577002619605,0.9991727561009237
ank_20_6,0.8065366266543552,0.6077706489851409,1.3456165136174554,1.1432383643356092,0.05929675849619338,1.3156738089631896,1.3687701122360882
ank_22_10,0.697329947676208,0.8086896551724138,1.060105747910626,1.0189322872249702,0.40866450622548184,1.0090397407470577,1.0022855193586901
ank_22_16,0.858264081255771,0.73191231845078,0.9983157250038279,0.9465013014852243,0.04587352625937835,0.9983463481855765,1.1042719338539275
ank_22_37,0.8751154201292706,0.9195902576277147,1.0119280967633981,0.970765406128986,0.5229478414686619,0.9928048955395133,0.9934024955777597
ank_23_14,0.817174515235457,0.8291666666666667,0.7514976009993469,0.8119978423189392,0.07188484796865684,0.9211594696647076,0.8257104732703063
ank_23_28,0.5041551246537396,0.7886523199023199,1.1316948086506362,1.0459141709806956,0.6793749092844357,1.1579660360926993,1.1413227538826263
ank_24_0,0.7024084333641121,0.5229501013309963,1.474050798638387,1.161874836344593,0.1064676616915423,1.41235925634983,1.553286200576067
ank_24_12,0.815597106802093,0.8796877211189207,0.8355899938332843,0.8826983403490898,0.1816768104673298,0.845242244684559,0.9015202295090758
ank_24_14,0.7818751923668821,0.8632304096444827,0.9873738813201847,0.8376275437496437,0.22085732200877842,0.9378954568773871,0.9699310266203044
ank_24_3,0.9721645121575869,0.7070463224963888,0.4774991604164334,1.0597783499384306,0.04570133213925893,1.1248460763461323,0.7981920967200269
ank_25_1,0.6072637734687596,0.6977318803852002,1.1170434940524836,1.0296921819667666,0.4155089439753019,1.138699718514483,1.0683737401253064
ank_25_14,0.8640158510310865,0.5195369030390738,1.3610884936790228,1.211442039854296,0.06483822584101134,1.381229912149132,1.6522391257767302
ank_25_16,0.9013927362265313,0.8222928848862521,0.37351742752588823,0.889439671952454,0.0736809322363811,0.8305779761750279,0.6556019828190288
ank_25_37,0.7393621114188981,0.9232210225055288,0.9335193326569721,0.8354751437267501,0.17095028745350016,0.9188366587757862,0.9491883665877578
ank_26_21,0.802670052323792,0.7761347840674879,0.9415161340126601,0.9095877721167207,0.10149760691678246,1.032422417786012,1.1297514281303072
ank_26_22,0.6986188057863958,0.7504474488531542,1.0270052102443679,1.0243267043369781,0.27874807367725835,1.1127907830043295,1.1094518235855286
ank_26_29,0.24546014158202523,0.8692789968652037,1.0355210962856114,1.0169491525423728,0.855391272989542,1.0360620266858998,1.031373963216733
ank_26_3,0.7558287165281625,0.7104680461174314,0.7612036539494895,0.8011105140605409,0.06526956833243776,1.0532688518717537,0.8051585169263837
ank_26_35,0.8763273314866112,0.8574031390626715,0.9960060421413758,0.9609052971146215,0.19222202309326916,0.9713254307585959,1.029621854118129
