i,j,x,y,dens,boundary,building,forest,water,water_edge,score,rank
0,1,487340.0,4428360.0,0.97526,0.46282,0.19137,0.01817,0.00053,0.00027,1.53036,1
0,2,487340.0,4426110.0,0.93098,0.41139,0.11935,0.0382,0.01464,0.0087,1.38048,2
1,2,489590.0,4426110.0,0.89803,0.37315,0.07705,0.04191,0.00771,0.00533,1.33049,3
1,1,489590.0,4428360.0,0.90471,0.38929,0.06977,0.0767,0.01699,0.00931,1.30671,4
2,2,491840.0,4426110.0,0.85907,0.30979,0.02348,0.06772,0.0,0.0,1.24755,5
0,3,487340.0,4423860.0,0.81052,0.31019,0.0575,0.08545,0.00117,0.00082,1.2198,6
0,0,487340.0,4430610.0,0.81876,0.35758,0.08848,0.09687,0.0,0.0,1.19372,7
3,2,494090.0,4426110.0,0.71797,0.25038,0.03291,0.06724,3e-05,5e-05,1.12603,8
1,3,489590.0,4423860.0,0.67477,0.21383,0.03516,0.04971,0.0,0.0,1.02383,9
2,3,491840.0,4423860.0,0.71936,0.21849,0.00728,0.18689,0.0,0.0,0.95371,10
1,0,489590.0,4430610.0,0.68785,0.26722,0.04886,0.32191,0.00409,0.00222,0.86325,11
2,1,491840.0,4428360.0,0.53712,0.17731,0.00394,0.11669,0.03372,0.0076,0.65188,12
3,3,494090.0,4423860.0,0.42974,0.13001,0.00995,0.12342,3e-05,4e-05,0.57118,13
2,0,491840.0,4430610.0,0.43704,0.13849,0.02792,0.23269,0.02898,0.00232,0.48786,14
3,1,494090.0,4428360.0,0.42794,0.11995,0.02067,0.15826,0.02583,0.00147,0.46919,15
3,0,494090.0,4430610.0,0.24256,0.05835,0.01028,0.19199,0.08902,0.00803,0.18558,16
