sitevar,arm,stem,stratum,n_mean,med_mean,n_single,med_single,improve
ank_overpass,pretrained,ank_0_10,3,60,3.2227800195450267,60,3.4202333198522137,0.197453300307187
ank_overpass,pretrained,ank_0_16,5,67,1.8955835279625586,70,2.384862391438782,0.4892788634762233
ank_overpass,pretrained,ank_0_30,1,30,3.929227345479044,28,3.3387973218253046,-0.5904300236537394
ank_overpass,pretrained,ank_0_41,2,36,2.1280735278510385,26,2.5939270093610203,0.46585348150998174
ank_overpass,pretrained,ank_10_1,4,63,1.4642346259881336,82,1.3793783388990695,-0.08485628708906412
ank_overpass,pretrained,ank_11_14,4,47,2.4040064643822943,39,2.1072049859277864,-0.2968014784545079
ank_overpass,pretrained,ank_12_21,1,49,3.087334807923088,52,3.840477071953303,0.753142264030215
ank_overpass,pretrained,ank_12_28,1,34,3.163159486091496,24,3.7515714024219395,0.5884119163304433
ank_overpass,pretrained,ank_12_35,4,58,2.421388776211354,59,2.0236169132480937,-0.3977718629632605
ank_overpass,pretrained,ank_13_12,4,82,1.6528875300045476,81,1.9687657879551477,0.3158782579506001
ank_overpass,pretrained,ank_13_17,1,47,2.2482201618321747,43,2.9336896856680665,0.6854695238358919
ank_overpass,pretrained,ank_13_21,1,60,2.9266296136010856,48,2.4552028634420084,-0.4714267501590772
ank_overpass,pretrained,ank_13_29,2,36,2.881700274575298,41,3.7566123078373588,0.8749120332620608
ank_overpass,pretrained,ank_13_34,1,20,2.7662889988398,26,2.9330486999203997,0.16675970108059968
ank_overpass,pretrained,ank_13_6,4,79,1.4762754503492699,67,1.6551381930016695,0.17886274265239965
ank_overpass,pretrained,ank_14_33,2,25,3.053593466912595,23,2.6852041495163994,-0.3683893173961956
ank_overpass,pretrained,ank_14_9,4,58,2.5118138188471293,48,2.6853700722182094,0.17355625337108016
ank_overpass,pretrained,ank_15_22,2,43,3.713507671842897,45,2.711390639736519,-1.0021170321063781
ank_overpass,pretrained,ank_15_41,1,36,3.9893018030332064,31,3.4543109343097678,-0.5349908687234386
ank_overpass,pretrained,ank_15_6,4,70,2.201401827224334,74,2.2565164080808167,0.055114580856482576
