stem,silent_frac,ref_edge,pretrained,C2,C5
ank_0_10,0.8282740843336411,0.6075434888635994,1.2495125960472495,0.09430788638709431,1.3352192362093351
ank_0_16,0.6485072329947676,0.8831276696725202,0.8781741233373639,0.25006717721348914,0.9561332795915625
ank_0_30,0.9586218836565097,0.84460096723055,0.8927035567487942,0.127990686402623,1.0555727149611538
ank_0_41,0.9380001538935057,0.837370029326716,1.1071244887462959,0.4182851264970243,1.0398226837451936
ank_10_1,0.7575600184672207,0.5788070389274015,1.2177327366850927,0.11875932262876196,1.3861981223128896
ank_11_14,0.7892236072637735,0.5514904818777878,1.4364006010784052,0.13754088217095378,1.550428710333245
ank_12_21,0.9719721452754694,0.6283373245987294,1.0621141489227668,0.08444626433161144,1.4335391205745245
ank_12_28,0.9538896583564174,0.7784701635509307,0.956867519817626,0.11178177296513134,1.1542666183099322
ank_12_35,0.8380847953216374,0.8732297381045286,1.0075176111870465,0.5039953737777311,1.0553832404584165
ank_13_12,0.7532702369959988,0.5598600541396395,0.7376271495689458,0.10564247593851206,1.1725585002052636
ank_13_17,0.9257848568790397,0.788534264223081,0.9273762154470474,0.15122928140398958,1.137869245566418
ank_13_21,0.9445791012619268,0.5831619249333034,1.2819277108433735,0.0709271870089052,1.5423432861882314
ank_13_29,0.9066251154201292,0.8806492679821769,0.8898205035537887,0.1735453559812071,0.979785568003855
ank_13_34,0.9328062480763312,0.7945598152234435,1.001453450647564,0.034415634976251656,1.1154455085779542
ank_13_6,0.6938288704216682,0.5818731285349895,0.9796540715681135,0.16352980416448276,1.2890837184924
ank_14_33,0.9412511542012927,0.6874923359901901,1.3232557448200004,0.5163946609590059,1.290228603704034
ank_14_9,0.7510195444752231,0.7802822673599549,1.0588582871023866,0.2926829268292683,1.109608377375833
ank_15_22,0.9064712219144352,0.6872373838122321,1.1970108695652173,0.2444416996047431,1.271677371541502
ank_15_41,0.9984033548784241,0.7820273212462188,0.9989652113925298,0.1677835813540948,1.1584704838868631
ank_15_6,0.7161819021237303,0.6905989793177545,1.079615728676442,0.2025592158998094,1.1632764186534945
ank_16_36,0.9506001846722069,0.6942488262910798,0.9913137260617367,0.07470778558311715,1.326114204098289
ank_16_9,0.8563211757463836,0.8605413905425138,0.8945623515284413,0.3854909024460281,1.0084840890698827
ank_17_17,0.9187249923053247,0.6143554094516217,1.2190450223237108,0.077536552946389,1.3937152789611804
ank_17_19,0.8120960295475531,0.6472901269660792,1.079557930176389,0.29726268023128155,1.3601332064700284
ank_17_22,0.851762080640197,0.7991553367360766,0.6926663840610428,0.07135792002260845,1.046375582874099
ank_17_31,0.9542166820560173,0.9022457866301105,0.9895430678136521,0.6255613897888505,1.0375823930287118
ank_17_32,0.971375807940905,0.6293567807351077,1.2500629326620516,0.3606985525487728,1.444933920704846
ank_18_16,0.8534164358264081,0.7465737985754215,1.167627789016032,0.15286374203677425,1.113100449865644
ank_18_27,0.9496191135734072,0.8217968196090347,0.908252810096628,0.20134095839084995,1.0946805363833565
ank_18_29,0.8474338257925516,0.8875899484711597,0.9290299480831693,0.35651262116058413,0.9984143628040204
ank_18_37,0.7458064019698368,0.7532370389476399,1.1211861795021059,0.23463342807245832,1.1948772386398656
ank_18_39,0.8321021852877809,0.7714536711670057,1.0882828888222955,0.2908600539406653,1.1849565477974229
ank_18_7,0.7730455524776855,0.8170009456029463,0.963511208576998,0.1897843567251462,1.0684088693957114
ank_19_15,0.8262157586949831,0.8659138533178115,0.9867709929821731,0.3184103680998091,0.9932510553628566
ank_19_33,0.9989035087719298,0.841180888555087,0.9234890109890109,0.0996565934065934,1.081135531135531
ank_19_6,0.8849838411819021,0.6214976632974677,1.1472789591494124,0.06711667599328483,1.3387660884163401
ank_19_9,0.8895814096645122,0.8960730040653923,0.907910613446595,0.16977170712872242,1.0190646266711714
ank_1_34,0.8960257002154509,0.790785547134975,1.0774284628332518,0.39634576749742084,1.0652929358744638
ank_20_10,0.884599107417667,0.9170599108404914,0.949443930663252,0.42877807023784115,0.9991700457660477
ank_20_19,0.9560826408125577,0.6830446067483552,1.1714975845410627,0.1183574879227053,1.3368386944739012
ank_20_37,0.6025892582333026,0.9261612130885873,1.0020681097476907,0.6728250379153453,1.007272852612712
ank_20_6,0.8065366266543552,0.6077706489851409,1.3456165136174554,0.07189388588022917,1.3633937681500667
ank_22_10,0.697329947676208,0.8086896551724138,1.060105747910626,0.3724373187787822,1.0143612485075901
ank_22_16,0.858264081255771,0.73191231845078,0.9983157250038279,0.04832338079926504,1.0898177920685959
ank_22_37,0.8751154201292706,0.9195902576277147,1.0119280967633981,0.5155854089974662,1.0020796481330976
ank_23_14,0.817174515235457,0.8291666666666667,0.7514976009993469,0.06450330749794168,0.8638957499361212
ank_23_28,0.5041551246537396,0.7886523199023199,1.1316948086506362,0.6816004644636896,1.1527892012192171
ank_24_0,0.7024084333641121,0.5229501013309963,1.474050798638387,0.09866457187745484,1.5506677140612728
