stem,german,side1_mean8_med,side1_mean8_n,side1_seed42_med,side1_seed42_n,side2_mean8_med,side2_mean8_n,side2_seed42_med,side2_seed42_n,diff_mean8,diff_seed42
30STG_0190_00,False,1.7582829921376817,62,1.674026743161313,70,2.189483558446498,53,2.546782872453107,57,-0.4312005663088163,-0.872756129291794
30SVJ_1711_00,False,2.5374667055203224,22,3.3600342876906195,21,3.012247952097336,34,3.3867771167660807,34,-0.4747812465770136,-0.026742829075461216
30TVK_1017_00,False,2.934414674649275,51,2.6117006999021277,43,2.7264127471396344,68,2.370965495357606,59,0.20800192750964053,0.24073520454452169
30TVK_1697_00,False,3.5810608022470354,31,3.358736715016159,27,3.1824649009598667,34,3.1202157005230022,43,0.3985959012871687,0.23852101449315688
30TVK_2581_00,False,1.2603433096774561,78,1.1573462296222385,74,1.7558591793688247,96,1.819503460441804,93,-0.4955158696913686,-0.6621572308195656
30UYC_0100_00,False,1.7576597476981453,70,1.9485360059095087,64,2.3868003192777,67,2.2141934883877896,74,-0.6291405715795546,-0.2656574824782809
31TCJ_0023_00,False,2.3701103513669333,40,2.30348182439064,30,3.6940565696595806,30,3.4813388159997105,38,-1.3239462182926474,-1.1778569916090706
31TCJ_0532_00,False,1.8208915786959559,83,2.0738073338428644,89,2.449031933412027,81,2.911142824506244,55,-0.6281403547160711,-0.8373354906633796
31TCJ_1236_00,False,2.189734968338032,97,2.2030630036950147,113,0.9919067270911515,139,0.973108092122035,152,1.1978282412468806,1.2299549115729798
31TCK_0288_00,False,1.4202605032947755,76,1.5458260688950218,68,1.0180411240912228,91,0.9184170475064236,88,0.40221937920355266,0.6274090213885982
31TCM_1179_00,False,2.531132050152629,71,2.508370178596107,52,1.6579280130853746,86,1.3643953203130694,93,0.8732040370672545,1.1439748582830376
31TCN_1555_00,False,1.8177537202556158,58,1.7277162532620916,51,2.546039490832474,66,2.1266133222586174,63,-0.7282857705768584,-0.3988970689965259
31TGH_0155_00,False,2.585884214958579,58,2.6884247842613753,66,1.8488505583895383,60,1.9055369523890426,52,0.7370336565690407,0.7828878318723327
31TGJ_0386_00,False,1.8071977959367238,86,1.568858899688115,82,2.1733572341775775,91,1.8824453805523602,85,-0.36615943824085373,-0.31358648086424523
31TGJ_1189_00,False,2.0678119483562134,74,2.106409209764927,68,1.6862576561418394,81,1.6070093941292876,62,0.381554292214374,0.4993998156356394
31UDP_0247_00,False,2.545941023684095,44,2.944955348744787,49,2.453764723726013,36,2.954772867221088,44,0.09217629995808219,-0.009817518476300968
31UEP_2509_00,False,1.874581859937821,70,1.894354588126861,83,2.25136658061127,72,2.085105856917579,65,-0.37678472067344915,-0.19075126879071802
31UFS_1006_00,False,1.8058270311110218,103,1.7838221576045756,89,1.4197876714485598,108,1.4889788640366846,96,0.38603935966246206,0.2948432935678911
32TQM_0261_00,False,1.8198061769346658,72,1.7788125524303229,65,0.9271200944593794,60,1.0899043759115181,81,0.8926860824752865,0.6889081765188048
32UMA_0976_00,True,3.209550742774253,66,2.844730777902484,66,3.282632188288563,81,3.374771112463626,84,-0.07308144551431006,-0.530040334561142
32UMC_0857_00,True,1.9677299645745903,49,2.1651353023134687,48,2.0215646000553695,44,2.122432915782059,56,-0.05383463548077927,0.042702386531409786
32UNE_1350_00,True,3.1009136185214015,60,2.944733560128999,59,2.023632709179642,88,2.178712218205447,87,1.0772809093417592,0.766021341923552
32UPA_0114_00,True,1.8331114667399389,71,2.3746878941010205,59,0.9911052644028053,120,0.9091125399986475,124,0.8420062023371335,1.465575354102373
32UPA_1844_00,True,3.3479873789704584,65,3.4765353778560932,73,2.0783437236313382,65,2.292823610331349,77,1.2696436553391202,1.1837117675247444
33TVN_1850_00,False,2.545377911547411,83,2.3593630207879452,67,2.746503433928344,92,2.5411279856581204,87,-0.20112552238093295,-0.18176496487017513
